iter	MultiClass
0	1.346336653
1	1.171043791
2	1.040757716
3	0.9380367065
4	0.855458264
5	0.7854324503
6	0.7259406986
7	0.6738861071
8	0.6281961445
9	0.5902912012
10	0.5567621136
11	0.5252833714
12	0.4969595334
13	0.4722659388
14	0.4506748938
15	0.4293093557
16	0.4115974494
17	0.3932910897
18	0.3782885246
19	0.364231025
20	0.3514703221
21	0.3390617045
22	0.3285124213
23	0.3187315544
24	0.3105079294
25	0.3022151409
26	0.294430469
27	0.2875017532
28	0.2802171563
29	0.2746526961
30	0.2694909876
31	0.2641390813
32	0.2597718202
33	0.2558100385
34	0.2518369044
35	0.2476965643
36	0.2445932119
37	0.2408822055
38	0.2377034058
39	0.234922743
40	0.2321861881
41	0.2295571529
42	0.2271095302
43	0.225298545
44	0.2234427126
45	0.2215263355
46	0.2198036436
47	0.2178730771
48	0.2163444597
49	0.2149303856
50	0.2132369967
51	0.2117389014
52	0.2104443213
53	0.209306585
54	0.2080989622
55	0.2068752475
56	0.2058863146
57	0.2049830478
58	0.2038997381
59	0.202678375
60	0.2019545234
61	0.2010405826
62	0.2000696118
63	0.199530244
64	0.198578842
65	0.1979861291
66	0.1972354369
67	0.1966514681
68	0.1959427359
69	0.195200739
70	0.1946159958
71	0.1941463737
72	0.1935976839
73	0.1928673622
74	0.1924194367
75	0.1918175521
76	0.1912460607
77	0.1907394877
78	0.1901121985
79	0.18938543
80	0.1890192718
81	0.1884637685
82	0.1879380258
83	0.1873040772
84	0.1869815255
85	0.1866397921
86	0.1862116314
87	0.1858551453
88	0.1855444331
89	0.1851264965
90	0.1846877668
91	0.1842145837
92	0.1837661339
93	0.1833922982
94	0.1830627404
95	0.1825986694
96	0.1822613091
97	0.1820851996
98	0.1816561012
99	0.1813842624
100	0.1810236325
101	0.1807321152
102	0.1803921591
103	0.1801243416
104	0.1797824149
105	0.1794412802
106	0.1791161112
107	0.1787817848
108	0.1783697731
109	0.1778868919
110	0.177575155
111	0.1772383593
112	0.1768408581
113	0.1765473346
114	0.1761846045
115	0.1759610073
116	0.1758667147
117	0.175614637
118	0.1753497762
119	0.175011768
120	0.1746007928
121	0.1742829486
122	0.1738835888
123	0.1735111563
124	0.1732277749
125	0.1728349017
126	0.1725879982
127	0.1723046035
128	0.1720246763
129	0.1717816518
130	0.1714812359
131	0.171222827
132	0.1709184751
133	0.1707250214
134	0.1704615589
135	0.1701664574
136	0.1698991227
137	0.1696209817
138	0.1694047871
139	0.1690781827
140	0.1687767799
141	0.1684680168
142	0.1681945251
143	0.1679183939
144	0.1675856167
145	0.1673230043
146	0.1670124338
147	0.1665595824
148	0.1663206847
149	0.1660806848
150	0.1658357177
151	0.1655317398
152	0.1652361922
153	0.1649662335
154	0.1647346549
155	0.1644990349
156	0.1641692646
157	0.1638796538
158	0.1635728012
159	0.163362647
160	0.1630965157
161	0.162762676
162	0.162460615
163	0.1621518469
164	0.1617812151
165	0.1614634401
166	0.1612397665
167	0.1609540389
168	0.1606392305
169	0.1603695488
170	0.16011619
171	0.1598665257
172	0.159672781
173	0.1594453392
174	0.1591783371
175	0.1589396223
176	0.1586992064
177	0.1584323421
178	0.1581668794
179	0.1579046945
180	0.1576249406
181	0.1573311261
182	0.1571473564
183	0.1568182132
184	0.1565719875
185	0.1563295774
186	0.1560338673
187	0.1558727842
