iter	Passed	Remaining
0	186	186271
1	253	126729
2	316	105343
3	386	96353
4	435	86684
5	523	86689
6	600	85151
7	673	83485
8	728	80227
9	801	79352
10	857	77090
11	933	76868
12	1004	76246
13	1076	75837
14	1140	74913
15	1208	74327
16	1259	72834
17	1316	71811
18	1374	70965
19	1443	70749
20	1511	70469
21	1581	70295
22	1657	70422
23	1708	69467
24	1787	69705
25	1834	68726
26	1915	69019
27	1964	68182
28	2068	69245
29	2143	69301
30	2196	68650
31	2270	68679
32	2319	67970
33	2386	67801
34	2443	67377
35	2487	66608
36	2545	66255
37	2611	66115
38	2680	66052
39	2754	66109
40	2827	66144
41	2928	66807
42	3013	67078
43	3058	66451
44	3124	66313
45	3171	65775
46	3248	65864
47	3329	66030
48	3383	65659
49	3456	65674
50	3510	65330
51	3568	65058
52	3651	65250
53	3699	64814
54	3808	65436
55	3854	64975
56	3902	64565
57	3977	64604
58	4028	64257
59	4098	64216
60	4147	63848
61	4204	63606
62	4276	63599
63	4316	63130
64	4412	63466
65	4473	63302
66	4517	62905
67	4560	62503
68	4604	62128
69	4646	61729
70	4686	61320
71	4729	60956
72	4770	60580
73	4844	60618
74	4893	60356
75	4965	60371
76	5024	60226
77	5091	60188
78	5144	59971
79	5211	59937
80	5268	59774
81	5329	59665
82	5368	59309
83	5455	59489
84	5498	59184
85	5571	59209
86	5625	59037
87	5687	58939
88	5739	58750
89	5804	58685
90	5886	58799
91	5948	58708
92	5988	58401
93	6036	58184
94	6107	58180
95	6166	58063
96	6210	57817
97	6271	57720
98	6314	57466
99	6367	57310
100	6431	57244
101	6477	57027
102	6538	56943
103	6602	56882
104	6642	56621
105	6698	56492
106	6757	56398
107	6819	56324
108	6865	56124
109	6916	55963
110	6958	55731
111	7003	55525
112	7067	55476
113	7123	55364
114	7160	55107
115	7222	55041
116	7276	54915
117	7345	54905
118	7386	54682
119	7458	54698
120	7507	54539
121	7576	54525
122	7643	54497
123	7694	54361
124	7738	54171
125	7834	54346
126	7873	54119
127	7944	54122
128	8037	54268
129	8087	54125
130	8147	54048
131	8213	54009
132	8269	53905
133	8317	53756
134	8382	53712
135	8442	53633
136	8502	53561
137	8569	53525
138	8617	53381
139	8662	53211
140	8707	53050
141	8753	52891
142	8794	52708
143	8840	52553
144	8887	52404
145	8927	52219
146	8974	52074
147	9023	51944
148	9058	51736
149	9106	51601
150	9150	51446
151	9193	51291
152	9239	51147
153	9287	51022
154	9328	50855
155	9369	50691
156	9408	50518
157	9446	50344
158	9486	50175
159	9526	50014
160	9569	49870
161	9620	49763
162	9669	49651
163	9718	49539
164	9756	49375
165	9800	49236
166	9845	49108
167	9896	49012
168	9940	48876
169	9984	48748
170	10032	48638
171	10081	48532
172	10127	48414
173	10169	48274
174	10217	48170
175	10265	48059
176	10305	47915
177	10351	47803
178	10398	47694
179	10447	47594
180	10496	47494
181	10543	47385
182	10578	47226
183	10621	47103
184	10668	46997
185	10713	46885
186	10754	46758
187	10799	46646
188	10847	46547
189	10888	46417
190	10928	46289
191	10953	46097
192	10996	45980
193	11036	45851
194	11079	45739
195	11118	45609
196	11168	45524
197	11222	45456
198	11261	45330
199	11311	45246
200	11354	45134
201	11399	45032
202	11445	44935
203	11492	44842
204	11530	44716
205	11578	44626
206	11622	44525
207	11677	44463
208	11722	44367
209	11776	44300
210	11816	44184
211	11863	44095
212	11910	44005
213	11951	43896
214	12005	43834
215	12046	43726
216	12094	43640
217	12132	43522
218	12177	43426
219	12223	43336
220	12268	43245
221	12306	43128
222	12347	43021
223	12390	42925
224	12428	42809
225	12470	42708
226	12512	42608
227	12553	42505
228	12598	42416
229	12643	42328
230	12686	42233
231	12732	42147
232	12778	42065
233	12813	41944
234	12858	41858
235	12910	41793
236	12954	41706
237	13000	41623
238	13038	41515
239	13078	41415
240	13122	41328
241	13170	41253
242	13216	41172
243	13270	41116
244	13316	41036
245	13368	40975
246	13413	40891
247	13463	40826
248	13507	40740
249	13553	40661
250	13597	40576
251	13642	40493
252	13692	40427
253	13742	40362
254	13786	40278
255	13833	40203
256	13878	40124
257	13925	40048
258	13976	39985
259	14014	39886
260	14063	39819
261	14102	39723
262	14148	39648
263	14191	39564
264	14239	39495
265	14286	39421
266	14324	39324
267	14370	39251
268	14417	39180
269	14459	39095
270	14509	39031
271	14552	38948
272	14598	38876
273	14640	38790
274	14682	38708
275	14730	38640
276	14778	38574
277	14824	38501
278	14867	38420
279	14907	38334
280	14953	38260
281	14999	38189
282	15038	38102
283	15081	38022
284	15123	37940
285	15163	37856
286	15207	37779
287	15252	37706
288	15294	37628
289	15339	37555
290	15380	37474
291	15424	37399
292	15466	37319
293	15514	37255
294	15549	37161
295	15593	37087
296	15638	37015
297	15684	36948
298	15732	36885
299	15782	36824
300	15827	36754
301	15876	36694
302	15921	36623
303	15965	36552
304	16011	36484
305	16059	36422
306	16103	36350
307	16145	36274
308	16185	36195
309	16229	36124
310	16274	36055
311	16326	36001
312	16373	35937
313	16419	35872
314	16465	35806
315	16506	35728
316	16550	35659
317	16594	35590
318	16643	35529
319	16687	35461
320	16732	35392
321	16777	35326
322	16818	35252
323	16857	35172
324	16906	35113
325	16949	35043
326	16998	34984
327	17045	34923
328	17094	34863
329	17137	34793
330	17182	34728
331	17226	34660
332	17272	34596
333	17312	34521
334	17360	34462
335	17397	34381
336	17437	34306
337	17481	34239
338	17526	34173
339	17570	34106
340	17607	34027
341	17652	33962
342	17699	33902
343	17747	33844
344	17792	33779
345	17834	33709
346	17877	33643
347	17931	33595
348	17974	33529
349	18026	33478
350	18066	33404
351	18116	33350
352	18169	33302
353	18218	33245
354	18264	33184
355	18310	33123
356	18353	33056
357	18399	32994
358	18439	32923
359	18482	32857
360	18526	32793
361	18567	32724
362	18602	32644
363	18652	32590
364	18696	32526
365	18731	32446
366	18755	32348
367	18776	32246
368	18803	32154
369	18828	32059
370	18852	31962
371	18875	31864
372	18897	31766
373	18922	31672
374	18948	31581
375	18972	31486
376	19012	31418
377	19061	31366
378	19105	31305
379	19154	31252
380	19195	31186
381	19237	31123
382	19281	31061
383	19321	30994
384	19367	30937
385	19411	30876
386	19448	30806
387	19487	30737
388	19525	30667
389	19574	30616
390	19626	30569
391	19669	30507
392	19710	30443
393	19748	30373
394	19794	30317
395	19839	30259
396	19879	30194
397	19924	30137
398	19965	30072
399	20007	30011
400	20041	29937
401	20080	29871
402	20119	29804
403	20164	29748
404	20210	29691
405	20251	29629
406	20296	29572
407	20335	29506
408	20379	29447
409	20422	29388
410	20466	29329
411	20508	29269
412	20557	29217
413	20591	29145
414	20622	29070
415	20667	29014
416	20708	28952
417	20745	28884
418	20794	28833
419	20843	28783
420	20888	28728
421	20925	28660
422	20970	28605
423	21019	28555
424	21068	28504
425	21104	28436
426	21148	28380
427	21191	28321
428	21230	28257
429	21270	28195
430	21303	28125
431	21344	28063
432	21385	28004
433	21432	27951
434	21474	27892
435	21523	27842
436	21565	27783
437	21609	27727
438	21661	27681
439	21710	27630
440	21758	27580
441	21807	27531
442	21845	27467
443	21890	27412
444	21930	27351
445	21975	27297
446	22022	27244
447	22071	27195
448	22116	27140
449	22155	27079
450	22201	27025
451	22246	26971
452	22294	26921
453	22343	26871
454	22391	26820
455	22431	26760
456	22469	26697
457	22510	26638
458	22552	26581
459	22597	26527
460	22641	26472
461	22685	26417
462	22735	26368
463	22778	26312
464	22822	26257
465	22866	26202
466	22909	26146
467	22954	26093
468	23001	26042
469	23049	25992
470	23096	25940
471	23139	25884
472	23189	25837
473	23232	25781
474	23273	25723
475	23315	25666
476	23368	25621
477	23410	25564
478	23454	25511
479	23504	25463
480	23547	25407
481	23591	25353
482	23636	25299
483	23688	25254
484	23734	25202
485	23770	25139
486	23814	25086
487	23854	25027
488	23904	24980
489	23953	24931
490	23997	24877
491	24041	24823
492	24089	24773
493	24135	24721
494	24176	24664
495	24217	24608
496	24263	24556
497	24305	24501
498	24357	24455
499	24398	24398
500	24441	24343
501	24489	24294
502	24540	24247
503	24582	24192
504	24622	24134
505	24677	24092
506	24720	24038
507	24770	23990
508	24812	23935
509	24853	23878
510	24892	23820
511	24934	23765
512	24975	23709
513	25015	23653
514	25066	23605
515	25118	23560
516	25162	23507
517	25215	23463
518	25262	23412
519	25311	23364
520	25356	23312
521	25403	23261
522	25445	23207
523	25487	23152
524	25525	23094
525	25565	23037
526	25608	22984
527	25656	22935
528	25697	22880
529	25740	22826
530	25783	22772
531	25822	22715
532	25874	22670
533	25923	22622
534	25966	22569
535	26005	22512
536	26045	22456
537	26092	22406
538	26136	22354
539	26180	22301
540	26229	22253
541	26280	22207
542	26331	22161
543	26379	22112
544	26431	22066
545	26480	22018
546	26523	21965
547	26571	21916
548	26613	21862
549	26659	21812
550	26709	21764
551	26750	21710
552	26800	21663
553	26842	21610
554	26895	21564
555	26932	21506
556	26987	21463
557	27035	21415
558	27076	21360
559	27117	21306
560	27154	21249
561	27198	21197
562	27242	21145
563	27290	21097
564	27330	21042
565	27372	20988
566	27417	20937
567	27464	20888
568	27519	20845
569	27569	20798
570	27620	20751
571	27663	20699
572	27715	20653
573	27763	20604
574	27809	20555
575	27858	20507
576	27902	20455
577	27957	20411
578	28001	20360
579	28052	20313
580	28101	20265
581	28144	20213
582	28196	20167
583	28236	20113
584	28290	20069
585	28334	20018
586	28382	19969
587	28421	19914
588	28477	19871
589	28526	19823
590	28567	19769
591	28613	19720
592	28656	19668
593	28699	19616
594	28747	19567
595	28783	19510
596	28826	19459
597	28872	19408
598	28921	19361
599	28960	19307
600	29005	19256
601	29056	19210
602	29099	19158
603	29146	19109
604	29184	19054
605	29221	18999
606	29274	18953
607	29323	18906
608	29377	18861
609	29422	18810
610	29472	18763
611	29525	18718
612	29567	18666
613	29609	18614
614	29661	18568
615	29700	18514
616	29743	18463
617	29782	18409
618	29821	18355
619	29866	18305
620	29911	18255
621	29953	18203
622	30002	18155
623	30041	18101
624	30087	18052
625	30131	18002
626	30176	17952
627	30226	17905
628	30268	17853
629	30315	17804
630	30363	17756
631	30413	17709
632	30458	17659
633	30496	17605
634	30537	17553
635	30583	17503
636	30626	17453
637	30673	17404
638	30727	17359
639	30767	17306
640	30807	17254
641	30853	17204
642	30896	17154
643	30932	17099
644	30982	17052
645	31021	16999
646	31064	16948
647	31106	16897
648	31152	16848
649	31199	16799
650	31250	16753
651	31301	16707
652	31351	16660
653	31401	16612
654	31444	16562
655	31485	16510
656	31532	16462
657	31578	16413
658	31621	16362
659	31666	16313
660	31714	16265
661	31759	16215
662	31795	16161
663	31835	16109
664	31884	16062
665	31933	16014
666	31974	15963
667	32020	15914
668	32060	15862
669	32109	15814
670	32151	15764
671	32188	15711
672	32235	15662
673	32282	15614
674	32323	15563
675	32366	15512
676	32403	15459
677	32423	15398
678	32449	15340
679	32477	15283
680	32500	15224
681	32538	15171
682	32587	15124
683	32632	15076
684	32678	15027
685	32720	14976
686	32767	14929
687	32812	14879
688	32860	14832
689	32907	14784
690	32960	14739
691	33010	14692
692	33046	14639
693	33093	14591
694	33137	14542
695	33178	14491
696	33220	14441
697	33265	14392
698	33304	14341
699	33355	14295
700	33408	14249
701	33458	14203
702	33508	14156
703	33551	14106
704	33591	14056
705	33630	14004
706	33676	13956
707	33722	13908
708	33765	13858
709	33812	13810
710	33856	13761
