iter	MultiClass
0	1.390529818
1	1.242998008
2	1.13068467
3	1.042247651
4	0.9714441502
5	0.9113518746
6	0.8609550775
7	0.8179921987
8	0.7811573112
9	0.7489286744
10	0.7202040307
11	0.69652432
12	0.6732070046
13	0.6533935939
14	0.6352850876
15	0.6191189211
16	0.6045022828
17	0.5917142336
18	0.5796823396
19	0.569108799
20	0.5594731994
21	0.5504100772
22	0.5417380848
23	0.533900595
24	0.5265377187
25	0.5202961894
26	0.5146051926
27	0.508927185
28	0.5041857689
29	0.4994246576
30	0.4950803385
31	0.4912036316
32	0.4875135606
33	0.484304028
34	0.4812254754
35	0.4782278394
36	0.4752158471
37	0.4724023754
38	0.4700037707
39	0.4673597081
40	0.4649402606
41	0.4625667279
42	0.4602726876
43	0.4584826697
44	0.4562672461
45	0.4542619609
46	0.4522969186
47	0.450464394
48	0.44883742
49	0.4472502369
50	0.4454538492
51	0.4435986109
52	0.4420837939
53	0.4408020132
54	0.4392863275
55	0.4382248452
56	0.4369194006
57	0.4358682126
58	0.4345125413
59	0.4335723786
60	0.432431022
61	0.4315272767
62	0.4304668752
63	0.4295452462
64	0.4283488244
65	0.4271557164
66	0.4261819109
67	0.4253572882
68	0.4247345522
69	0.4238860584
70	0.4228924466
71	0.421959892
72	0.4211455885
73	0.4200787935
74	0.4192942508
75	0.4184885784
76	0.4177107189
77	0.4169180903
78	0.4161500737
79	0.4153943832
80	0.4145248043
81	0.4134197878
82	0.4128999072
83	0.4121202046
84	0.4112141907
85	0.4104267279
86	0.4097190408
87	0.4091551292
88	0.4085067893
89	0.4076639808
90	0.4070753041
91	0.4065981339
92	0.4060098334
93	0.4052652291
94	0.4044516388
95	0.4038012793
96	0.4031623111
97	0.402531177
98	0.4018780283
99	0.401256496
100	0.400537984
101	0.4001953461
102	0.399586566
103	0.3990570442
104	0.3984546511
105	0.3979692561
106	0.3974340837
107	0.3968966947
108	0.3962929524
109	0.3956094655
110	0.3949944224
111	0.3944899779
112	0.3938635238
113	0.393521656
114	0.3929702338
115	0.3924055518
116	0.3918262788
117	0.391157098
118	0.3904973765
119	0.3898074959
120	0.3894994971
121	0.3890067707
122	0.3882893117
123	0.3877809245
124	0.3872676483
125	0.3865789483
126	0.38598878
127	0.3854422691
128	0.3849853709
129	0.3844233821
130	0.3838827402
131	0.3832094792
132	0.3824775445
133	0.3819198943
134	0.3812761756
135	0.3808997488
136	0.3803794074
137	0.3798490869
138	0.3793090832
139	0.3786393347
140	0.378073502
141	0.3775122636
142	0.3771474566
143	0.3765631345
144	0.3760922536
145	0.3755702892
146	0.375043869
147	0.3744984534
148	0.3740088859
149	0.373525864
150	0.3731106513
151	0.3724455507
152	0.3718256179
153	0.3713626238
154	0.3707655444
155	0.3704791492
156	0.3700283819
157	0.3695924027
158	0.3690388818
159	0.3684807875
160	0.3680365649
161	0.3674497942
162	0.3667888715
163	0.3662385162
164	0.365759804
165	0.3653647587
166	0.364781614
167	0.3644214291
168	0.3639429505
169	0.3634524158
170	0.362935966
171	0.3624249601
172	0.3619489903
173	0.3615487987
174	0.3610250431
175	0.3605130488
176	0.3601772221
177	0.3598203382
178	0.3594569677
179	0.3592189155
180	0.3589231943
181	0.3584568104
182	0.3580162783
183	0.3575689335
184	0.357157448
185	0.3567408517
186	0.3563266621
187	0.3559987409
188	0.3557028471
189	0.3552867795
190	0.3548394638
191	0.3543736402
192	0.3539667328
193	0.3535617596
194	0.3530911563
195	0.3526438805
196	0.3520667564
197	0.3516893209
198	0.351124696
199	0.3506709957
200	0.350381827
201	0.3498952458
