iter	Passed	Remaining
0	166	166078
1	197	98765
2	227	75714
3	261	65159
4	289	57650
5	323	53646
6	355	50455
7	385	47830
8	417	45951
9	448	44396
10	478	43050
11	506	41717
12	534	40553
13	564	39761
14	587	38573
15	624	38382
16	664	38434
17	697	38043
18	730	37705
19	763	37398
20	794	37036
21	821	36506
22	851	36172
23	879	35756
24	904	35293
25	933	34963
26	962	34692
27	989	34366
28	1019	34139
29	1049	33937
30	1076	33649
31	1106	33478
32	1136	33299
33	1166	33154
34	1196	32984
35	1228	32894
36	1259	32774
37	1287	32597
38	1313	32373
39	1343	32232
40	1373	32122
41	1400	31954
42	1434	31915
43	1462	31784
44	1491	31643
45	1523	31603
46	1552	31486
47	1578	31303
48	1606	31170
49	1635	31066
50	1664	30968
51	1694	30890
52	1722	30782
53	1749	30652
54	1774	30494
55	1800	30357
56	1827	30232
57	1855	30134
58	1886	30085
59	1911	29941
60	1937	29817
61	1961	29680
62	1990	29605
63	2017	29511
64	2046	29441
65	2078	29413
66	2110	29393
67	2138	29316
68	2162	29182
69	2190	29100
70	2225	29119
71	2254	29051
72	2281	28970
73	2311	28921
74	2344	28919
75	2376	28892
76	2403	28814
77	2426	28678
78	2450	28565
79	2471	28424
80	2497	28340
81	2529	28312
82	2553	28209
83	2583	28172
84	2610	28102
85	2642	28081
86	2668	28004
87	2696	27945
88	2727	27916
89	2758	27889
90	2782	27790
91	2809	27731
92	2841	27710
93	2869	27661
94	2899	27622
95	2921	27514
96	2953	27497
97	2980	27432
98	3006	27365
99	3033	27302
100	3064	27272
101	3086	27173
102	3114	27120
103	3144	27091
104	3171	27033
105	3199	26983
106	3222	26893
107	3248	26829
108	3273	26756
109	3302	26722
110	3332	26688
111	3361	26654
112	3385	26577
113	3409	26499
114	3441	26484
115	3468	26433
116	3497	26393
117	3522	26331
118	3546	26257
119	3575	26219
120	3598	26143
121	3629	26122
122	3658	26086
123	3685	26036
124	3718	26026
125	3745	25981
126	3773	25942
127	3804	25919
128	3826	25834
129	3851	25778
130	3879	25733
131	3909	25706
132	3934	25648
133	3960	25595
134	3993	25586
135	4020	25540
136	4049	25506
137	4073	25446
138	4099	25396
139	4123	25327
140	4153	25302
141	4183	25275
142	4212	25243
143	4242	25217
144	4265	25149
145	4288	25087
146	4315	25041
147	4340	24984
148	4366	24936
149	4394	24904
150	4423	24871
151	4450	24827
152	4475	24774
153	4510	24776
154	4537	24737
155	4562	24684
156	4592	24657
157	4616	24599
158	4643	24558
159	4674	24541
160	4706	24525
161	4731	24475
162	4760	24443
163	4790	24420
164	4818	24385
165	4841	24323
166	4867	24277
167	4892	24229
168	4920	24193
169	4946	24148
170	4972	24108
171	5000	24072
172	5027	24034
173	5054	23993
174	5081	23954
175	5107	23911
176	5138	23894
177	5164	23850
178	5188	23798
179	5214	23754
180	5241	23717
181	5268	23681
182	5295	23640
183	5323	23608
184	5350	23572
185	5374	23518
186	5398	23468
187	5424	23427
188	5447	23376
189	5474	23337
190	5503	23309
191	5532	23284
192	5558	23240
193	5589	23221
194	5616	23187
195	5645	23156
196	5678	23145
197	5704	23106
198	5730	23066
199	5759	23036
200	5782	22987
201	5810	22953
202	5840	22930
203	5867	22895
204	5892	22850
205	5921	22822
206	5944	22772
207	5975	22752
208	6001	22713
209	6030	22685
210	6058	22653
211	6084	22615
212	6106	22562
213	6134	22531
214	6164	22507
215	6190	22468
216	6217	22436
217	6242	22391
218	6265	22343
219	6291	22307
220	6319	22275
221	6348	22249
222	6377	22221
223	6398	22166
224	6423	22125
225	6453	22101
226	6479	22064
227	6506	22031
228	6532	21992
229	6557	21953
230	6584	21919
231	6614	21895
232	6640	21857
233	6669	21832
234	6702	21819
235	6729	21786
236	6755	21749
237	6782	21715
238	6807	21676
239	6832	21636
240	6863	21616
241	6892	21589
242	6916	21547
243	6945	21519
244	6973	21490
245	6996	21445
246	7024	21413
247	7052	21384
248	7077	21345
249	7102	21308
250	7126	21266
251	7151	21228
252	7178	21195
253	7206	21165
254	7230	21125
255	7260	21101
256	7294	21089
257	7321	21055
258	7347	21022
259	7377	20996
260	7411	20984
261	7443	20965
262	7472	20939
263	7495	20897
264	7523	20867
265	7551	20837
266	7577	20803
267	7604	20770
268	7634	20745
269	7658	20706
270	7685	20673
271	7714	20646
272	7747	20632
273	7773	20597
274	7801	20567
275	7831	20543
276	7857	20507
277	7884	20477
278	7912	20448
279	7939	20416
280	7968	20389
281	7994	20355
282	8022	20325
283	8048	20290
284	8074	20256
285	8101	20225
286	8127	20191
287	8152	20153
288	8180	20125
289	8205	20088
290	8233	20059
291	8259	20026
292	8285	19993
293	8312	19960
294	8337	19926
295	8366	19898
296	8396	19873
297	8422	19840
298	8451	19815
299	8478	19782
300	8504	19750
301	8536	19729
302	8563	19699
303	8590	19668
304	8618	19639
305	8645	19608
306	8672	19577
307	8699	19544
308	8726	19514
309	8753	19482
310	8783	19459
311	8810	19427
312	8839	19401
313	8864	19367
314	8891	19334
315	8924	19317
316	8953	19290
317	8980	19260
318	9011	19237
319	9039	19208
320	9063	19171
321	9087	19133
322	9111	19098
323	9139	19067
324	9163	19031
325	9187	18994
326	9216	18967
327	9240	18932
328	9271	18909
329	9292	18867
330	9322	18842
331	9346	18805
332	9373	18774
333	9397	18737
334	9423	18705
335	9453	18682
336	9474	18640
337	9508	18622
338	9533	18588
339	9562	18561
340	9591	18535
341	9624	18516
342	9651	18486
343	9678	18456
344	9708	18432
345	9736	18404
346	9765	18377
347	9792	18347
348	9820	18318
349	9847	18288
350	9874	18257
351	9898	18222
352	9924	18191
353	9951	18160
354	9982	18136
355	10008	18105
356	10035	18074
357	10059	18039
358	10088	18013
359	10110	17973
360	10136	17943
361	10165	17915
362	10192	17886
363	10216	17851
364	10246	17825
365	10274	17797
366	10303	17771
367	10331	17743
368	10361	17718
369	10387	17686
370	10410	17649
371	10438	17621
372	10464	17589
373	10490	17558
374	10516	17528
375	10544	17498
376	10567	17462
377	10598	17439
378	10629	17417
379	10652	17381
380	10683	17357
381	10712	17330
382	10745	17310
383	10772	17280
384	10798	17249
385	10823	17216
386	10852	17190
387	10881	17163
388	10908	17133
389	10934	17103
390	10960	17071
391	10988	17043
392	11014	17012
393	11048	16994
394	11077	16967
395	11107	16942
396	11139	16919
397	11163	16885
398	11193	16859
399	11217	16825
400	11236	16785
401	11259	16749
402	11290	16725
403	11315	16692
404	11344	16665
405	11368	16633
406	11396	16604
407	11423	16575
408	11448	16543
409	11475	16513
410	11507	16491
411	11532	16459
412	11559	16429
413	11584	16397
414	11608	16363
415	11628	16325
416	11659	16301
417	11690	16276
418	11718	16249
419	11745	16220
420	11773	16192
421	11802	16165
422	11831	16138
423	11854	16104
424	11881	16075
425	11909	16046
426	11935	16015
427	11957	15980
428	11982	15949
429	12009	15919
430	12037	15891
431	12065	15864
432	12088	15828
433	12115	15800
434	12145	15775
435	12179	15754
436	12209	15729
437	12240	15705
438	12265	15674
439	12294	15647
440	12323	15620
441	12347	15588
442	12373	15558
443	12401	15529
444	12430	15502
445	12455	15471
446	12482	15442
447	12507	15411
448	12537	15385
449	12563	15355
450	12590	15326
451	12615	15294
452	12645	15269
453	12676	15245
454	12707	15221
455	12738	15196
456	12759	15160
457	12788	15134
458	12816	15105
459	12844	15078
460	12872	15050
